# filename total_packets tcp_packets udp_packets total_bytes connections dns_queries dns_responses
node-fetch-local-x100-tcp-seq10-5 688 688 0 1391694 10 0 0
node-fetch-local-x100-tcp-seq10-3 704 704 0 1429881 10 0 0
node-fetch-local-x100-tcp-seq25-0 891 891 0 1443166 25 0 0
node-fetch-local-x100-tcp-seq10-8 704 704 0 1429900 10 0 0
node-fetch-local-x100-tcp-seq10-7 687 687 0 1378010 10 0 0
node-fetch-local-x100-tcp-seq25-2 876 876 0 1442024 25 0 0
node-fetch-local-x100-tcp-seq25-1 879 879 0 1442298 25 0 0
node-fetch-local-x100-tcp-seq25-4 887 887 0 1442845 25 0 0
node-fetch-local-x100-tcp-seq25-3 880 880 0 1442269 25 0 0
node-fetch-local-x100-tcp-seq25-6 890 890 0 1443100 25 0 0
node-fetch-local-x100-tcp-seq25-8 890 890 0 1443100 25 0 0
node-fetch-local-x100-tcp-seq25-9 890 890 0 1443081 25 0 0
node-fetch-local-x100-tcp-seq25-5 883 883 0 1442505 25 0 0
node-fetch-local-x100-tcp-seq25-7 898 898 0 1443780 25 0 0
node-fetch-local-x100-tcp-seq50-3 1131 1131 0 1459411 50 0 0
node-fetch-local-x100-tcp-seq50-6 690 690 0 812201 50 0 0
node-fetch-local-x100-tcp-seq50-5 1104 1104 0 1450198 50 0 0
node-fetch-local-x100-tcp-seq50-0 1097 1097 0 1447820 50 0 0
node-fetch-local-x100-tcp-seq50-8 1112 1112 0 1457938 50 0 0
node-fetch-local-x100-tcp-seq50-1 1112 1112 0 1437353 50 0 0
node-fetch-local-x100-tcp-seq50-4 1108 1108 0 1448753 50 0 0
node-fetch-local-x100-tcp-seq50-2 1087 1087 0 1454032 50 0 0
faith-local-x1-tcp-1 0 0 0 0 0 0 0
node-fetch-local-x100-tcp-seq50-7 1129 1129 0 1455140 50 0 0
faith-local-x1-tcp-0 16 16 0 14900 1 0 0
node-fetch-local-x100-tcp-seq50-9 1047 1047 0 1320799 50 0 0
faith-local-x1-tcp-3 0 0 0 0 0 0 0
faith-local-x1-tcp-2 16 16 0 14900 1 0 0
faith-local-x1-tcp-4 0 0 0 0 0 0 0
faith-local-x1-tcp-7 0 0 0 0 0 0 0
faith-local-x1-tcp-5 16 16 0 14900 1 0 0
faith-local-x1-tcp-6 16 16 0 14900 1 0 0
faith-local-x10-tcp-1 0 0 0 0 0 0 0
faith-local-x1-tcp-9 0 0 0 0 0 0 0
faith-local-x1-tcp-8 16 16 0 14900 1 0 0
faith-local-x10-tcp-0 70 70 0 142916 1 0 0
faith-local-x10-tcp-4 0 0 0 0 0 0 0
faith-local-x10-tcp-2 70 70 0 142916 1 0 0
faith-local-x10-tcp-3 0 0 0 0 0 0 0
faith-local-x10-tcp-7 70 70 0 142916 1 0 0
faith-local-x10-tcp-6 70 70 0 142916 1 0 0
faith-local-x10-tcp-5 70 70 0 142916 1 0 0
faith-local-x100-tcp-seq1-1 495 495 0 1166566 0 0 0
faith-local-x10-tcp-8 48 48 0 109562 0 0 0
faith-local-x10-tcp-9 70 70 0 142916 1 0 0
faith-local-x100-tcp-seq1-0 543 543 0 1280358 0 0 0
faith-local-x100-tcp-seq1-6 435 435 0 1024326 0 0 0
faith-local-x100-tcp-seq1-3 585 585 0 1379926 0 0 0
faith-local-x100-tcp-seq1-5 595 595 0 1404146 0 0 0
faith-local-x100-tcp-seq1-4 387 387 0 910534 0 0 0
faith-local-x100-tcp-seq1-2 591 591 0 1394150 0 0 0
faith-local-x100-tcp-seq10-1 700 700 0 1429160 10 0 0
faith-local-x100-tcp-seq1-9 164 164 0 384046 0 0 0
faith-local-x100-tcp-seq1-8 500 500 0 1180590 0 0 0
faith-local-x100-tcp-seq1-7 265 265 0 621692 0 0 0
faith-local-x100-tcp-seq10-0 698 698 0 1429028 10 0 0
faith-local-x100-tcp-seq10-2 0 0 0 0 0 0 0
faith-local-x100-tcp-seq10-3 698 698 0 1429028 10 0 0
faith-local-x100-tcp-seq10-4 699 699 0 1429094 10 0 0
faith-local-x100-tcp-seq10-8 57 57 0 68545 0 0 0
faith-local-x100-tcp-seq10-7 699 699 0 1429094 10 0 0
